"","colnames.base_estacionaria.","tipo","test"
"55","Taxa.de.câmbio.real.bilateral...IPA.EP.DI...Brasil.Hong.Kong...índice..média.2010...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_TCERHKG12",0,1
"56","Taxa.de.câmbio.real.bilateral...IPA.EP.DI...Brasil.Indonésia...índice..média.2010...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_TCERIDN12",0,1
"57","Taxa.de.câmbio.real.bilateral...IPA.EP.DI...Brasil.Peru...índice..média.2010...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_TCERPER12",0,1
"58","Taxa.de.câmbio.real.bilateral...IPA.EP.DI...Brasil.Uruguai...índice..média.2010...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_TCERURY12",0,1
"59","Taxa.de.câmbio.real.bilateral...IPA.EP.DI...Brasil.Holanda...índice..média.2010...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_TCERNLD12",0,1
"60","Taxa.de.câmbio.real.bilateral...IPA.EP.DI...Brasil.Japão...índice..média.2010...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_TCERJPN12",0,1
"61","Taxa.de.câmbio.real.bilateral...IPA.EP.DI...Brasil.Reino.Unido...índice..média.2010...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_TCERGBR12",0,1
"62","Taxa.de.câmbio.real.bilateral...IPA.EP.DI...Brasil.Itália...índice..média.2010...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_TCERITA12",0,1
"63","Taxa.de.câmbio.real.bilateral...IPA.EP.DI...Brasil.Índia...índice..média.2010...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_TCERIND12",0,1
"64","Taxa.de.câmbio.real.bilateral...IPA.EP.DI...Brasil.México...índice..média.2010...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_TCERMEX12",0,1
"65","Taxa.de.câmbio.real.bilateral...IPA.EP.DI...Brasil.Paraguai...índice..média.2010...100........Instituto..de.Pesquisa.Econômica.Aplicada.IPEA....GAC12_TCERPRY12",0,1
"66","Consumo...energia.elétrica...Região.Centro.Oeste..CO....qde....GWh...Eletrobras...ELETRO12_CEECO12",0,1
"67","Consumo...energia.elétrica...Região.Nordeste..NE....qde....GWh...Eletrobras...ELETRO12_CEENE12",0,1
"68","Consumo...energia.elétrica...Região.Norte..N....qde....GWh...Eletrobras...ELETRO12_CEENO12",0,1
"69","Consumo...energia.elétrica...Região.Sudeste..SE....qde....GWh...Eletrobras...ELETRO12_CEESE12",0,1
"70","Consumo...energia.elétrica...Região.Sul..S....qde....GWh...Eletrobras...ELETRO12_CEESU12",0,1
"71","Consumo...energia.elétrica...comércio...qde....GWh...Eletrobras...ELETRO12_CEECOM12",0,1
"72","Consumo...energia.elétrica...indústria...qde....GWh...Eletrobras...ELETRO12_CEEIND12",0,1
