Período,CHLLOLITOAASTSAM,CHLLOLITOTRGYSAM,CHLLOLITONOSTSAM,CHNLOLITOAASTSAM,CHNLOLITONOSTSAM,CHNLOLITOTRGYSAM,OECDLOLITOAASTSAM,OECDLOLITOTRGYSAM,OECDLOLITONOSTSAM,CPIAUCSL,UNRATE,FEDFUNDS,USSLIND,USALOLITOAASTSAM,USALOLITONOSTSAM,USALOLITOTRGYSAM,EA19LOLITOAASTSAM,EA19LOLITONOSTSAM,EA19LOLITOTRGYSAM,RUSLOLITOAASTSAM,RUSLOLITOTRGYSAM,RUSLOLITONOSTSAM,ICC_ARGENTINA,ind.sint.act.construcion_argentina,reservas_internacionais_argentina,saldo_bcc_arg,ipc_peru,reservas_internacionais_peru,saldo_bcc_peru,desemprego_peru
9/2004,101.8463,8.361232,101.4366,100.4477,100.4253,14.85238,100.3705,3.29149,100.3446,189.8,5.4,1.61,1.38,100.6047,100.5716,3.84697,100.0502,100.0589,2.598963,99.584436,7.063368799,99.77619447,47.34,99.85,18224,12642,87.55,11.19,2.39,9.14
10/2004,101.8561,8.337793,101.4442,100.4044,100.3837,14.79253,100.3427,2.989431,100.3173,190.8,5.5,1.76,1.38,100.5347,100.5053,3.352579,100.0556,100.0686,2.421135,99.49479691,6.894399851,99.72855837,49.45,100.34,18587,12498,87.53,12.17,2.66,9.18
11/2004,101.7817,8.103445,101.3863,100.3476,100.3294,14.71678,100.324,2.72766,100.298,191.7,5.4,1.93,1.5,100.5045,100.4767,2.928142,100.0426,100.0567,2.255233,99.3818487,6.701061066,99.66853532,54.13,101.23,18944,12229,87.78,12.34,2.77,8.27
12/2004,101.6127,7.655757,101.2548,100.2655,100.2507,14.63668,100.299,2.504812,100.2734,191.7,5.4,2.16,1.37,100.4883,100.4614,2.579284,100.008,100.0204,2.108451,99.28232425,6.519287159,99.61564594,52.03,105.34,19646,12129,87.77,12.63,3,8.77
1/2005,101.3783,7.041205,101.0725,100.1717,100.1609,14.59017,100.2531,2.310488,100.2299,191.6,5.3,2.28,1.16,100.4518,100.4268,2.286926,99.94761,99.9569,1.97209,99.23161482,6.396716111,99.58869788,56.81,106.83,20137,12295,87.86,13.13,3.16,13
2/2005,101.1065,6.334018,100.861,100.0979,100.0903,14.60821,100.1822,2.143154,100.1649,192.4,5.4,2.5,1.54,100.3901,100.3683,2.06291,99.86884,99.874,1.838312,99.23103884,6.350280867,99.58839179,55.97,106.99,20792,12003,87.65,13.33,3.25,10.57
3/2005,100.8446,5.66476,100.6572,100.0704,100.064,14.74554,100.1007,2.007943,100.092,193.1,5.2,2.63,1.39,100.3166,100.2986,1.900229,99.78592,99.78684,1.715403,99.27056352,6.384052996,99.60939604,58.41,110.83,20339,11892,88.22,13.56,3.42,10.4
4/2005,100.6034,5.075552,100.4695,100.0704,100.064,14.96947,100.0308,1.917334,100.0313,193.7,5.2,2.79,1.64,100.2639,100.2487,1.819478,99.71607,99.71228,1.612882,99.3427147,6.498632324,99.64773869,52.27,112.04,20904,11684,88.33,23.63,3.56,9.66
5/2005,100.4219,4.589016,100.3283,100.0868,100.0797,15.22378,99.99624,1.885661,100.0037,193.6,5.1,3,1.31,100.2558,100.241,1.825095,99.67559,99.66754,1.545036,99.45644308,6.678645313,99.70817635,51.41,112.78,22103,11301,88.44,14.02,3.69,10.25
6/2005,100.2938,4.174462,100.2286,100.1205,100.1119,15.44407,100.0136,1.922302,100.0214,193.7,5,3.04,1.67,100.2883,100.2718,1.903319,99.67977,99.66822,1.523989,99.62341963,6.917190952,99.79691119,50.63,114.37,23052,11117,88.67,13.82,3.99,9.06
7/2005,100.2378,3.855988,100.185,100.141,100.1315,15.58656,100.0749,2.014478,100.0753,194.9,5,3.26,1.68,100.3344,100.3155,2.021852,99.72996,99.7156,1.549242,99.82832697,7.181828004,99.90580326,50.51,116.97,25105,11305,88.76,15.28,4.15,8.55
